iter	F1	Logloss
0	0.9869158879	0.4770417326
1	0.9869158879	0.336901631
2	0.9869158879	0.2472948165
3	0.9869158879	0.2037383199
4	0.9869158879	0.1547880554
5	0.9869158879	0.1159963571
6	0.9869158879	0.09975517929
7	0.9869158879	0.09023833111
8	0.9869158879	0.08009723676
9	0.9869158879	0.07497034391
10	0.9869158879	0.06770732241
11	0.9869158879	0.06377037365
12	0.9869158879	0.06063171736
13	0.9869158879	0.0591455936
14	0.9869158879	0.056944381
15	0.9869158879	0.05485508997
16	0.9869158879	0.05228872812
17	0.9869158879	0.0502812607
18	0.9869158879	0.04838782297
19	0.9869158879	0.04641425655
20	0.9869158879	0.04539396993
21	0.9869158879	0.04389359348
22	0.9869158879	0.04217026931
23	0.9869158879	0.04015457247
24	0.9869158879	0.0389721859
25	0.9869158879	0.03774038535
26	0.9869158879	0.03713597051
27	0.9869158879	0.03634675383
28	0.9888059701	0.03553370136
29	0.9869158879	0.03441887948
30	0.9869158879	0.03314664866
31	0.9888059701	0.03258615284
32	0.990689013	0.03179995277
33	0.990689013	0.03058472233
34	0.990689013	0.03007155463
35	0.9925650558	0.02955732894
36	0.9925650558	0.02851184266
37	0.9925650558	0.02756516588
38	0.9925650558	0.02683290186
39	0.9925650558	0.02617619506
40	0.9925650558	0.02503803254
41	0.9925650558	0.02448469146
42	0.9944341373	0.02337914074
43	0.9944341373	0.02265224893
44	0.9944341373	0.02195991313
45	0.9944341373	0.02151832276
46	0.9944341373	0.02105598938
47	0.9944341373	0.02014590877
48	0.9944341373	0.01965631104
49	0.9944341373	0.01895381892
50	0.9962962963	0.01853340727
51	0.9981515712	0.01796099989
52	0.9981515712	0.01758686116
53	1	0.01712596448
